incident_id,year,country,total_killed,total_wounded,total_kidnapped,total_affected,means_of_attack,latitude,longitude,means_of_attack_condensed,risk,risk_allyears
1,1997,Cambodia,1,0,0,1,Unknown,14.07092855,103.099916,Unknown,3,11
2,1997,Rwanda,3,1,0,4,Shooting,-1.49984,29.63497,Shooting,11,41
3,1997,Tajikistan,0,0,6,6,Kidnapping,38.6281733,70.8156541,Kidnapping,6,28
4,1997,Somalia,1,0,0,1,Unknown,-0.358216,42.545087,Unknown,3,1112
5,1997,Rwanda,1,0,0,1,Shooting,-1.9508511,30.0615075,Shooting,3,41
7,1997,DR Congo,10,0,0,10,Unknown,-2.9814344,23.8222636,Unknown,30,583
6,1997,Sierra Leone,1,2,0,3,Unknown,8.6400349,-11.8400269,Unknown,7,26
11,1997,Somalia,1,0,0,1,Kidnap-killing,2.25,41.16667,Kidnapping,3,1112
12,1997,Rwanda,1,0,0,1,Unknown,-1.49984,29.63497,Unknown,3,41
8,1997,Rwanda,1,0,0,1,Shooting,-1.49984,29.63497,Shooting,3,41
9,1997,Rwanda,1,0,0,1,Shooting,-1.49984,29.63497,Shooting,3,41
10,1997,Rwanda,1,0,0,1,Shooting,-1.49984,29.63497,Shooting,3,41
14,1997,Somalia,1,0,0,1,Unknown,-0.36667,42.53333,Unknown,3,1112
13,1997,Somalia,1,0,0,1,Shooting,3.1199508,43.6444625,Shooting,3,1112
16,1997,Chechnya,1,0,0,1,Unknown,43.3976147,45.6985005,Unknown,3,77
17,1997,Chechnya,0,0,2,2,Kidnapping,43.3976147,45.6985005,Kidnapping,2,77
18,1997,Chechnya,0,0,1,1,Kidnapping,43.25,45.83333,Kidnapping,1,77
19,1997,Somalia,0,0,1,1,Kidnapping,4.01897,44.51112,Kidnapping,1,1112
15,1997,Bangladesh,1,0,0,1,Shooting,23.61352,90.50298,Shooting,3,46
20,1997,Somalia,2,0,0,2,Unknown,-0.36667,42.53333,Unknown,6,1112
21,1997,Chechnya,0,0,4,4,Kidnapping,43.0574916,47.1332224,Kidnapping,4,77
23,1997,Somalia,0,0,1,1,Kidnapping,2.033333,45.35,Kidnapping,1,1112
24,1997,South Sudan,1,0,0,1,Shooting,4.824871,31.607858,Shooting,3,1233
22,1997,Ethiopia,2,0,0,2,Shooting,8.53056,44.795,Shooting,6,137
25,1997,Angola,1,0,0,1,Unknown,-11.8775768,17.5691241,Unknown,3,143
26,1997,Rwanda,1,0,0,1,Unknown,-1.9646631,30.0644358,Unknown,3,41
28,1997,Angola,2,0,0,2,Unknown,-11.8775768,17.5691241,Unknown,6,143
27,1997,Afghanistan,1,0,0,1,Shooting,36.70904,67.11087,Shooting,3,2534
29,1997,Chechnya,0,0,2,2,Kidnapping,43.3278775,45.6762535,Kidnapping,2,77
31,1997,Congo,1,2,0,3,Unknown,-2.9814344,23.8222636,Unknown,7,13
30,1997,Somalia,0,0,4,4,Kidnapping,8.3676771,49.083416,Kidnapping,4,1112
32,1997,Somalia,0,0,3,3,Kidnapping,2.270978,45.334654,Kidnapping,3,1112
34,1997,Tajikistan,1,0,1,2,Kidnap-killing,38.6281733,70.8156541,Kidnapping,4,28
33,1997,Chechnya,0,0,5,5,Kidnapping,43.3976147,45.6985005,Kidnapping,5,77
62,1998,Burundi,1,0,0,1,Unknown,-3.3634357,29.8870575,Unknown,3,99
37,1998,Sri Lanka,1,0,0,1,Unknown,8.7593439,80.4999646,Unknown,3,224
38,1998,DR Congo,1,0,0,1,Unknown,-2.9814344,23.8222636,Unknown,3,583
36,1998,Chechnya,0,1,1,2,Kidnapping,43.0,44.25,Kidnapping,3,77
42,1998,Rwanda,3,0,0,3,Unknown,-1.9646631,30.0644358,Unknown,9,41
40,1998,Uganda,1,0,0,1,Unknown,1.5333554,32.2166578,Unknown,3,142
39,1998,Sierra Leone,1,0,0,1,Shooting,7.9967363,-10.9495705,Shooting,3,26
44,1998,Sudan,1,0,0,1,Aerial bombardment,14.5844444,29.4917691,Explosives,3,981
45,1998,Burundi,1,0,0,1,Unknown,-3.3239046,29.3206183,Unknown,3,99
43,1998,Somalia,0,0,10,10,Kidnapping,2.033333,45.35,Kidnapping,10,1112
48,1998,Burundi,1,0,0,1,Unknown,-3.3239046,29.3206183,Unknown,3,99
46,1998,Sudan,3,3,0,6,Shooting,11.0,31.0,Shooting,15,981
47,1998,Ethiopia,0,0,6,6,Kidnapping,7.0,44.0,Kidnapping,6,137
50,1998,Somalia,2,5,0,7,Unknown,8.3676771,49.083416,Unknown,16,1112
49,1998,Uganda,1,0,0,1,Unknown,1.5333554,32.2166578,Unknown,3,142
53,1998,Burundi,2,0,0,2,Unknown,-3.11667,29.4,Unknown,6,99
51,1998,Afghanistan,2,0,0,2,Kidnap-killing,34.430247,70.448678,Kidnapping,6,2534
52,1998,Burundi,1,0,0,1,Unknown,-3.3239046,29.3206183,Unknown,3,99
54,1998,Afghanistan,1,0,0,1,Shooting,33.93911,67.709953,Shooting,3,2534
